date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi_6,rsi_6_signal,rsi_12,rsi_12_signal,rsi_24,rsi_24_signal
2023-08-04,KRSB,Electric Power,sell,18.69,802.0,14992.28,79413.36,1484235.68,576771.45,2061007.12,69.5,hold,79.41,sell,80.48,sell
2023-08-07,KRSB,Electric Power,sell,20.67,794.0,16414.74,78619.23,1625059.39,593186.19,2218245.57,91.57,sell,90.45,sell,87.87,sell
2023-08-07,MRKV,Electric Power,sell,0.06,210949.0,12656.95,20883967.0,1253038.02,535740.73,1788778.75,53.42,hold,65.53,hold,72.16,sell
2023-08-08,KRSB,Electric Power,sell,25.3,786.0,19890.66,77833.03,1969175.73,613076.85,2582252.59,97.5,sell,96.15,sell,93.82,sell
2023-08-08,MRKV,Electric Power,sell,0.06,208840.0,12530.38,20675127.33,1240507.64,548271.11,1788778.75,82.85,sell,80.72,sell,80.41,sell
2023-08-09,KRSB,Electric Power,sell,27.7,778.0,21559.75,77054.7,2134415.26,634636.6,2769051.87,98.34,sell,97.18,sell,95.16,sell
2023-08-09,MRKV,Electric Power,sell,0.07,206751.0,14472.59,20468376.06,1432786.32,562743.7,1995530.03,89.67,sell,86.11,sell,84.2,sell
2023-08-16,KRSB,Electric Power,buy,20.22,6277.0,126927.32,83332.02,1684973.41,507709.28,2192682.69,29.04,buy,43.26,hold,51.64,hold
2023-08-17,KRSB,Electric Power,buy,19.75,5141.0,101541.86,88473.38,1747349.22,406167.42,2153516.64,26.22,buy,41.1,hold,49.99,hold
2023-08-21,KRSB,Electric Power,sell,24.5,885.0,21675.98,87588.64,2145921.78,427843.4,2573765.19,74.23,sell,65.2,hold,63.73,hold
2023-08-22,KRSB,Electric Power,sell,24.4,876.0,21371.63,86712.76,2115791.29,449215.03,2565006.32,72.79,sell,64.53,hold,63.33,hold
2023-08-25,MRKV,Electric Power,sell,0.06,204684.0,12281.03,20263692.3,1215821.54,575024.73,1790846.27,72.66,sell,65.06,hold,66.05,hold
2023-08-28,KRSB,Electric Power,sell,24.6,867.0,21331.34,85845.63,2111802.5,470546.37,2582348.87,73.06,sell,64.45,hold,62.68,hold
2023-08-28,MRKV,Electric Power,sell,0.07,202637.0,14184.58,20061055.37,1404273.88,589209.31,1993483.19,82.7,sell,71.4,sell,68.84,hold
2023-08-29,KRSB,Electric Power,sell,24.53,858.0,21057.93,84987.17,2084735.38,491604.3,2576339.68,70.78,sell,63.7,hold,62.33,hold
2023-08-30,MRKV,Electric Power,sell,0.07,200611.0,14042.74,19860444.82,1390231.14,603252.05,1993483.19,87.06,sell,80.69,sell,75.33,sell
2023-08-31,MRKV,Electric Power,sell,0.08,198604.0,15888.36,19661840.37,1572947.23,619140.41,2192087.64,93.77,sell,88.51,sell,82.27,sell
2023-09-01,MRKV,Electric Power,sell,0.08,196618.0,15729.47,19465221.97,1557217.76,634869.88,2192087.64,74.52,sell,75.63,sell,74.2,sell
2023-09-04,MRKV,Electric Power,sell,0.08,194652.0,15572.18,19270569.75,1541645.58,650442.06,2192087.64,79.43,sell,78.68,sell,76.3,sell
2023-09-05,MRKV,Electric Power,sell,0.08,192706.0,15416.46,19077864.05,1526229.12,665858.51,2192087.64,74.41,sell,75.87,sell,74.65,sell
2023-09-07,KRSB,Electric Power,buy,23.0,4275.0,98320.86,89261.99,2053025.86,393283.44,2446309.3,26.35,buy,43.5,hold,53.05,hold
2023-09-08,KRSB,Electric Power,buy,22.0,3575.0,78656.69,92837.3,2042420.56,314626.75,2357047.31,13.02,buy,32.42,hold,47.31,hold
2023-09-08,MRKV,Electric Power,buy,0.07,1902453.0,133171.7,20980316.95,1468622.19,532686.81,2001309.0,25.98,buy,43.31,hold,53.74,hold
2023-09-11,KRSB,Electric Power,buy,22.18,2837.0,62925.35,95674.33,2122056.62,251701.4,2373758.02,22.85,buy,35.89,hold,48.4,hold
2023-09-11,MRKV,Electric Power,sell,0.08,209803.0,16784.25,20770513.78,1661641.1,549471.06,2211112.17,77.05,sell,72.23,sell,70.56,sell
2023-09-14,KRSB,Electric Power,buy,20.89,2410.0,50340.28,98084.11,2048977.02,201361.12,2250338.14,14.66,buy,26.16,buy,41.17,hold
2023-09-14,MRKV,Electric Power,buy,0.07,1569917.0,109894.21,22340431.11,1563830.18,439576.85,2003407.03,29.68,buy,40.54,hold,48.42,hold
2023-09-18,KRSB,Electric Power,buy,20.84,1932.0,40272.22,100016.56,2084345.03,161088.9,2245433.93,23.41,buy,29.68,buy,41.56,hold
2023-09-19,KRSB,Electric Power,buy,19.7,1635.0,32217.78,101651.98,2002543.94,128871.12,2131415.06,13.26,buy,21.99,buy,36.22,hold
2023-09-20,KRSB,Electric Power,buy,18.52,1392.0,25774.22,103043.67,1908368.83,103096.89,2011465.73,8.14,buy,16.7,buy,31.65,hold
2023-09-20,MRKV,Electric Power,buy,0.07,1255934.0,87915.37,23596364.97,1651745.55,351661.48,2003407.03,27.13,buy,37.96,hold,45.85,hold
2023-09-21,KRSB,Electric Power,buy,18.07,1141.0,20619.38,104184.76,1882618.56,82477.52,1965096.07,6.75,buy,15.06,buy,30.08,hold
2023-09-21,MRKV,Electric Power,buy,0.06,1172205.0,70332.3,24768569.91,1486114.19,281329.19,1767443.38,19.45,buy,32.48,hold,42.03,hold
2023-09-22,KRSB,Electric Power,buy,18.77,879.0,16495.5,105063.58,1972043.39,65982.01,2038025.4,32.04,hold,28.02,buy,35.5,hold
2023-09-29,KRSB,Electric Power,sell,20.15,1051.0,21170.31,104012.94,2095860.82,87152.32,2183013.14,73.42,sell,54.56,hold,47.44,hold
2023-10-02,KRSB,Electric Power,sell,20.49,1040.0,21312.25,102972.81,2109912.97,108464.58,2218377.54,78.19,sell,58.64,hold,49.67,hold
